MAPPING_CODE;SCOPE_TYPE;SCOPE_CODE;DOMAIN_CODE;INDICATOR_CODE;ORGANIZATION_CODE;ORGANIZATION_ROLE_CODE;ENDPOINT_CODE;PROVIDER_SERIES_CODE;PROVIDER_SERIES_NAME;FREQUENCY_NATIVE;UNIT_CODE;CURRENCY_CODE;IS_PRIMARY_SOURCE;SOURCE_PRIORITY;COLLECTION_STATUS;VALID_FROM;VALID_TO;VALIDATION_STATUS;USAGE_TARGET;SOURCE_NOTE
UEMOA_D07_POLICY_RATE;ZONE;UEMOA;D07;TAUX_DIRECTEUR;BCEAO;CENTRAL_BANK;BCEAO_DATA_PORTAL;;;EVENT_DRIVEN;PERCENT;;1;1;SOURCE_IDENTIFIED;;;PENDING;MONEY_MARKET_INDEX|WTI_BENCH_MONETAIRE;SERIES_TO_IDENTIFY
UEMOA_D07_INTERBANK;ZONE;UEMOA;D07;TAUX_INTERBANCAIRE;BCEAO;INTERBANK_MARKET_OPERATOR;BCEAO_DATA_PORTAL;;;DAILY;PERCENT;;1;1;SOURCE_IDENTIFIED;;;PENDING;MONEY_MARKET_INDEX|RISK_FREE_RATE;SERIES_TO_IDENTIFY
UEMOA_D09_FX_EUR;ZONE;UEMOA;D09;FX_XOF_EUR;BCEAO;FX_REFERENCE_RATE_PROVIDER;BCEAO_DATA_PORTAL;;;DAILY;FX_RATE;XOF;1;1;SOURCE_IDENTIFIED;;;PENDING;LOCAL_EUR_CONVERSION;SERIES_TO_IDENTIFY
UEMOA_D09_FX_USD;ZONE;UEMOA;D09;FX_XOF_USD;BCEAO;FX_REFERENCE_RATE_PROVIDER;BCEAO_DATA_PORTAL;;;DAILY;FX_RATE;XOF;1;1;SOURCE_IDENTIFIED;;;PENDING;LOCAL_USD_CONVERSION;SERIES_TO_IDENTIFY
UEMOA_D11_ALL_SHARE;ZONE;UEMOA;D11;INDICE_ACTIONS_ALL_SHARE;BRVM;COMMON_STOCK_EXCHANGE;BRVM_MARKET_DATA;;;DAILY;INDEX_LEVEL;XOF;1;1;SOURCE_IDENTIFIED;;;PENDING;PRIMARY_MARKET_INDEX_ACTIONS|WTI_BENCH_ACTIONS;SERIES_TO_IDENTIFY
UEMOA_D11_TOTAL_RETURN;ZONE;UEMOA;D11;INDICE_ACTIONS_TOTAL_RETURN;BRVM;INDEX_PROVIDER;BRVM_MARKET_DATA;;;DAILY;INDEX_LEVEL;XOF;1;1;SOURCE_IDENTIFIED;;;PENDING;SECONDARY_MARKET_INDEX_ACTIONS|WTI_BENCH_ACTIONS;AVAILABILITY_TO_VERIFY
CEMAC_D07_POLICY_RATE;ZONE;CEMAC;D07;TAUX_DIRECTEUR;BEAC;CENTRAL_BANK;BEAC_DATA_PORTAL;;;EVENT_DRIVEN;PERCENT;;1;1;SOURCE_IDENTIFIED;;;PENDING;MONEY_MARKET_INDEX|WTI_BENCH_MONETAIRE;SERIES_TO_IDENTIFY
CEMAC_D07_INTERBANK;ZONE;CEMAC;D07;TAUX_INTERBANCAIRE;BEAC;INTERBANK_MARKET_OPERATOR;BEAC_DATA_PORTAL;;;DAILY;PERCENT;;1;1;SOURCE_IDENTIFIED;;;PENDING;MONEY_MARKET_INDEX|RISK_FREE_RATE;SERIES_TO_IDENTIFY
CEMAC_D09_FX_EUR;ZONE;CEMAC;D09;FX_XAF_EUR;BEAC;FX_REFERENCE_RATE_PROVIDER;BEAC_DATA_PORTAL;;;DAILY;FX_RATE;XAF;1;1;SOURCE_IDENTIFIED;;;PENDING;LOCAL_EUR_CONVERSION;SERIES_TO_IDENTIFY
CEMAC_D09_FX_USD;ZONE;CEMAC;D09;FX_XAF_USD;BEAC;FX_REFERENCE_RATE_PROVIDER;BEAC_DATA_PORTAL;;;DAILY;FX_RATE;XAF;1;1;SOURCE_IDENTIFIED;;;PENDING;LOCAL_USD_CONVERSION;SERIES_TO_IDENTIFY
CEMAC_D11_ALL_SHARE;ZONE;CEMAC;D11;INDICE_ACTIONS_ALL_SHARE;BVMAC;COMMON_STOCK_EXCHANGE;BVMAC_MARKET_DATA;;;DAILY;INDEX_LEVEL;XAF;1;1;SOURCE_IDENTIFIED;;;PENDING;PRIMARY_MARKET_INDEX_ACTIONS|WTI_BENCH_ACTIONS;SERIES_TO_IDENTIFY
AFRIQUE_DU_SUD_D07_POLICY_RATE;COUNTRY;AFRIQUE_DU_SUD;D07;TAUX_DIRECTEUR;SARB;CENTRAL_BANK;SARB_DATA_PORTAL;;;EVENT_DRIVEN;PERCENT;;1;1;SOURCE_IDENTIFIED;;;PENDING;MONEY_MARKET_INDEX|WTI_BENCH_MONETAIRE;SERIES_TO_IDENTIFY
AFRIQUE_DU_SUD_D09_FX_EUR;COUNTRY;AFRIQUE_DU_SUD;D09;FX_ZAR_EUR;SARB;FX_REFERENCE_RATE_PROVIDER;SARB_DATA_PORTAL;;;DAILY;FX_RATE;ZAR;1;1;SOURCE_IDENTIFIED;;;PENDING;LOCAL_EUR_CONVERSION;SERIES_TO_IDENTIFY
AFRIQUE_DU_SUD_D09_FX_USD;COUNTRY;AFRIQUE_DU_SUD;D09;FX_ZAR_USD;SARB;FX_REFERENCE_RATE_PROVIDER;SARB_DATA_PORTAL;;;DAILY;FX_RATE;ZAR;1;1;SOURCE_IDENTIFIED;;;PENDING;LOCAL_USD_CONVERSION;SERIES_TO_IDENTIFY
AFRIQUE_DU_SUD_D11_ALL_SHARE;COUNTRY;AFRIQUE_DU_SUD;D11;INDICE_ACTIONS_ALL_SHARE;JSE;STOCK_EXCHANGE;JSE_MARKET_DATA;;;DAILY;INDEX_LEVEL;ZAR;1;1;SOURCE_IDENTIFIED;;;PENDING;PRIMARY_MARKET_INDEX_ACTIONS|WTI_BENCH_ACTIONS;SERIES_TO_IDENTIFY
