ENDPOINT_CODE;ORGANIZATION_CODE;SCOPE_TYPE;SCOPE_CODE;ENDPOINT_TYPE;OFFICIAL_URL;DATA_PORTAL_URL;API_BASE_URL;ACCESS_METHOD;AUTH_REQUIRED;FILE_FORMATS;EXPECTED_FREQUENCY;HISTORY_START;LAST_VERIFIED_AT;VALIDATION_STATUS;SOURCE_NOTE
BCEAO_OFFICIAL_WEBSITE;BCEAO;ZONE;UEMOA;OFFICIAL_WEBSITE;;;;PUBLIC_WEB;0;;EVENT_DRIVEN;;;PENDING;URL_TO_VERIFY
BCEAO_DATA_PORTAL;BCEAO;ZONE;UEMOA;DATA_PORTAL;;;;PUBLIC_WEB;0;;DAILY_MONTHLY;;;PENDING;URL_TO_VERIFY
BEAC_OFFICIAL_WEBSITE;BEAC;ZONE;CEMAC;OFFICIAL_WEBSITE;;;;PUBLIC_WEB;0;;EVENT_DRIVEN;;;PENDING;URL_TO_VERIFY
BEAC_DATA_PORTAL;BEAC;ZONE;CEMAC;DATA_PORTAL;;;;PUBLIC_WEB;0;;DAILY_MONTHLY;;;PENDING;URL_TO_VERIFY
BRVM_OFFICIAL_WEBSITE;BRVM;ZONE;UEMOA;OFFICIAL_WEBSITE;;;;PUBLIC_WEB;0;;DAILY;;;PENDING;URL_TO_VERIFY
BRVM_MARKET_DATA;BRVM;ZONE;UEMOA;DATA_PORTAL;;;;PUBLIC_WEB;0;HTML,PDF,XLSX,CSV;DAILY;;;PENDING;URL_TO_VERIFY
BVMAC_OFFICIAL_WEBSITE;BVMAC;ZONE;CEMAC;OFFICIAL_WEBSITE;;;;PUBLIC_WEB;0;;DAILY;;;PENDING;URL_TO_VERIFY
BVMAC_MARKET_DATA;BVMAC;ZONE;CEMAC;DATA_PORTAL;;;;PUBLIC_WEB;0;HTML,PDF,XLSX,CSV;DAILY;;;PENDING;URL_TO_VERIFY
SARB_OFFICIAL_WEBSITE;SARB;COUNTRY;AFRIQUE_DU_SUD;OFFICIAL_WEBSITE;;;;PUBLIC_WEB;0;;EVENT_DRIVEN;;;PENDING;URL_TO_VERIFY
SARB_DATA_PORTAL;SARB;COUNTRY;AFRIQUE_DU_SUD;DATA_PORTAL;;;;PUBLIC_WEB;0;HTML,CSV,XLSX,JSON;DAILY_MONTHLY;;;PENDING;URL_TO_VERIFY
JSE_OFFICIAL_WEBSITE;JSE;COUNTRY;AFRIQUE_DU_SUD;OFFICIAL_WEBSITE;;;;PUBLIC_WEB;0;;DAILY;;;PENDING;URL_TO_VERIFY
JSE_MARKET_DATA;JSE;COUNTRY;AFRIQUE_DU_SUD;DATA_PORTAL;;;;PUBLIC_WEB;0;HTML,CSV,JSON;DAILY;;;PENDING;URL_TO_VERIFY
